cust_id,transaction_type,transaction_date,subscription_type,subscription_price,customer_gender,age_group,customer_country,referral_type
1,initial,2020-09-01,BASIC,33,Male,35-44,Denmark,Google Ads
2,initial,2022-03-01,BASIC,53,Female,18-24,Denmark,facebook
3,initial,2020-10-01,MAX,99,Female,25-34,Norway,facebook
3,REDUCTION,2022-02-01,BASIC,53,Female,25-34,Norway,facebook
4,initial,2022-05-01,PRO,85,Male,18-24,Sweden,Display
5,initial,2022-08-01,BASIC,53,Male,35-44,Sweden,Google Ads
6,initial,2022-06-01,MAX,119,Male,55-65,Sweden,facebook
7,initial,2022-02-01,MAX,119,Female,25-34,Sweden,facebook
8,initial,2021-01-01,BASIC,43,Other,45-54,Sweden,facebook
8,CHURN,2021-04-01,BASIC,43,Other,45-54,Sweden,facebook
9,initial,2020-08-01,BASIC,33,Female,25-34,Sweden,facebook
9,CHURN,2021-03-01,BASIC,43,Female,25-34,Sweden,facebook
10,initial,2022-09-01,MAX,119,Female,25-34,Finland,facebook
11,initial,2020-05-01,BASIC,33,Female,45-54,Norway,Organic Search
11,UPGRADE,2022-01-01,MAX,119,Female,45-54,Norway,Organic Search
12,initial,2020-09-01,BASIC,33,Male,25-34,Finland,facebook
12,UPGRADE,2022-09-01,PRO,85,Male,25-34,Finland,facebook
13,initial,2022-06-01,BASIC,53,Male,55-65,Norway,Google Ads
14,initial,2020-03-01,BASIC,33,Female,35-44,Norway,Google Ads
14,UPGRADE,2020-07-01,PRO,65,Female,35-44,Norway,Google Ads
15,initial,2022-06-01,PRO,85,Female,25-34,Norway,Google Ads
16,initial,2020-12-01,PRO,65,Female,18-24,Norway,Organic Search
16,UPGRADE,2022-11-01,MAX,119,Female,18-24,Norway,Organic Search
17,initial,2021-12-01,BASIC,43,Male,45-54,Denmark,Unknown
17,CHURN,2022-08-01,BASIC,53,Male,45-54,Denmark,Unknown
18,initial,2021-11-01,BASIC,43,Female,35-44,Denmark,Bing
19,initial,2022-09-01,PRO,85,Male,25-34,Norway,Organic Search
19,REDUCTION,2022-10-01,BASIC,53,Male,25-34,Norway,Organic Search
20,initial,2022-11-01,PRO,85,Male,45-54,Finland,Google Ads
21,initial,2021-09-01,PRO,75,Other,55-65,Sweden,Organic Search
21,UPGRADE,2022-10-01,MAX,119,Other,55-65,Sweden,Organic Search
22,initial,2022-06-01,BASIC,53,Female,25-34,Finland,Unknown
22,CHURN,2022-11-01,BASIC,53,Female,25-34,Finland,Unknown
23,initial,2020-12-01,MAX,99,Female,35-44,Sweden,facebook
23,REDUCTION,2021-05-01,PRO,75,Female,35-44,Sweden,facebook
24,initial,2021-03-01,MAX,109,Female,18-24,Denmark,facebook
24,REDUCTION,2022-04-01,PRO,85,Female,18-24,Denmark,facebook
25,initial,2020-12-01,MAX,99,Female,35-44,Sweden,Google Ads
25,REDUCTION,2022-08-01,BASIC,53,Female,35-44,Sweden,Google Ads
26,initial,2021-02-01,BASIC,43,Female,35-44,Sweden,Paid Search
26,UPGRADE,2022-07-01,PRO,85,Female,35-44,Sweden,Paid Search
26,CHURN,2022-10-01,PRO,85,Female,35-44,Sweden,Paid Search
27,initial,2020-12-01,BASIC,33,Male,25-34,Finland,Google Ads
28,initial,2022-07-01,PRO,85,Male,55-65,Sweden,facebook
29,initial,2020-06-01,PRO,65,Female,55-65,Sweden,Unknown
29,UPGRADE,2022-07-01,MAX,119,Female,55-65,Sweden,Unknown
30,initial,2022-07-01,PRO,85,Male,45-54,Sweden,Bing
30,REDUCTION,2022-10-01,BASIC,53,Male,45-54,Sweden,Bing
31,initial,2021-05-01,PRO,75,Male,35-44,Sweden,Google Ads
31,UPGRADE,2022-11-01,MAX,119,Male,35-44,Sweden,Google Ads
32,initial,2022-04-01,MAX,119,Female,45-54,Finland,Display
33,initial,2021-09-01,BASIC,43,Male,18-24,Sweden,facebook
33,CHURN,2022-09-01,BASIC,53,Male,18-24,Sweden,facebook
34,initial,2022-02-01,BASIC,53,Male,45-54,Norway,Paid Search
35,initial,2022-05-01,PRO,85,Male,18-24,Sweden,Paid Search
